year	country	city	stage	home_team	away_team	home_score	away_score	outcome	win_conditions	winning_team	losing_team	date
1974	Germany	Hanover	GroupA	Brazil	East-Germany	1	0	H	NA	Brazil	East-Germany	26/06/1974
1974	Germany	Dusseldorf	GroupB	West-Germany	Yugoslavia	2	0	H	NA	West-Germany	Yugoslavia	26/06/1974
1974	Germany	Gelsenkirchen	GroupA	Netherlands	Argentina	4	0	H	NA	Netherlands	Argentina	26/06/1974
1974	Germany	Stuttgart	GroupB	Sweden	Poland	0	1	A	NA	Poland	Sweden	26/06/1974
1974	Germany	Hanover	GroupA	Argentina	Brazil	1	2	A	NA	Brazil	Argentina	30/06/1974
1974	Germany	Gelsenkirchen	GroupA	East-Germany	Netherlands	0	2	A	NA	Netherlands	West-Germany	30/06/1974
1974	Germany	Dusseldorf	GroupB	West-Germany	Sweden	4	2	H	NA	West-Germany	Sweden	30/06/1974
1974	Germany	Frankfurt	GroupB	Poland	Yugoslavia	2	1	H	NA	Poland	Yugoslavia	30/06/1974
1974	Germany	Gelsenkirchen	GroupA	Argentina	East-Germany	1	1	D	NA	NA	NA	03/07/1974
1974	Germany	Frankfurt	GroupB	West-Germany	Poland	1	0	H	NA	West-Germany	Poland	03/07/1974
1974	Germany	Dortmund	GroupA	Netherlands	Brazil	2	0	H	NA	Netherlands	Brazil	03/07/1974
1974	Germany	Dusseldorf	GroupB	Sweden	Yugoslavia	2	1	H	NA	Sweden	Yugoslavia	03/07/1974
1974	Germany	Munich	Third-place	Brazil	Poland	0	1	A	NA	Poland	Brazil	06/07/1974
1974	Germany	Munich	Final	West-Germany	Netherlands	2	1	H	NA	West-Germany	Netherlands	07/07/1974
1978	Argentina	Buenos-Aires	Group2	West-Germany	Poland	0	0	D	NA	NA	NA	01/06/1978
1978	Argentina	Buenos-Aires	Group1	Argentina	Hungary	2	1	H	NA	Argentina	Hungary	02/06/1978
1978	Argentina	Mar-del-Plata	Group1	France	Italy	1	2	A	NA	Italy	France	02/06/1978
1978	Argentina	Rosario	Group2	Mexico	Tunisia	1	3	A	NA	Tunisia	Mexico	02/06/1978
1978	Argentina	Buenos-Aires	Group3	Austria	Spain	2	1	H	NA	Austria	Spain	03/06/1978
1978	Argentina	Mar-del-Plata	Group3	Brazil	Sweden	1	1	D	NA	NA	NA	03/06/1978
1978	Argentina	Mendoza	Group4	Iran	Netherlands	0	3	A	NA	Netherlands	Iran	03/06/1978
1978	Argentina	Cordoba	Group4	Peru	Scotland	3	1	H	NA	Peru	Scotland	03/06/1978
1978	Argentina	Buenos-Aires	Group1	Argentina	France	2	1	H	NA	Argentina	France	06/06/1978
1978	Argentina	Cordoba	Group2	West-Germany	Mexico	6	0	H	NA	West-Germany	Mexico	06/06/1978
1978	Argentina	Mar-del-Plata	Group1	Hungary	Italy	1	3	A	NA	Italy	Hungary	06/06/1978
1978	Argentina	Rosario	Group2	Poland	Tunisia	1	0	H	NA	Poland	Tunisia	06/06/1978
1978	Argentina	Buenos-Aires	Group3	Austria	Sweden	1	0	H	NA	Austria	Sweden	07/06/1978
1978	Argentina	Mar-del-Plata	Group3	Brazil	Spain	0	0	D	NA	NA	NA	07/06/1978
1978	Argentina	Cordoba	Group4	Iran	Scotland	1	1	D	NA	NA	NA	07/06/1978
1978	Argentina	Mendoza	Group4	Netherlands	Peru	0	0	D	NA	NA	NA	07/06/1978
1978	Argentina	Buenos-Aires	Group1	Argentina	Italy	0	1	A	NA	Italy	Argentina	10/06/1978
1978	Argentina	Mar-del-Plata	Group1	France	Hungary	3	1	H	NA	France	Hungary	10/06/1978
1978	Argentina	Cordoba	Group2	West-Germany	Tunisia	0	0	D	NA	NA	NA	10/06/1978
1978	Argentina	Rosario	Group2	Mexico	Poland	1	3	A	NA	Poland	Mexico	10/06/1978
1978	Argentina	Mar-del-Plata	Group3	Austria	Brazil	0	1	A	NA	Brazil	Austria	11/06/1978
1978	Argentina	Cordoba	Group4	Iran	Peru	1	4	A	NA	Peru	Iran	11/06/1978
1978	Argentina	Mendoza	Group4	Netherlands	Scotland	2	3	A	NA	Scotland	Netherlands	11/06/1978
1978	Argentina	Buenos-Aires	Group3	Spain	Sweden	1	0	H	NA	Spain	Sweden	11/06/1978
1978	Argentina	Rosario	GroupB	Argentina	Poland	2	0	H	NA	Argentina	Poland	14/06/1978
1978	Argentina	Cordoba	GroupA	Austria	Netherlands	1	5	A	NA	Netherlands	Austria	14/06/1978
1978	Argentina	Mendoza	GroupB	Brazil	Peru	3	0	H	NA	Brazil	Peru	14/06/1978
1978	Argentina	Buenos-Aires	GroupA	West-Germany	Italy	0	0	D	NA	NA	NA	14/06/1978
1978	Argentina	Rosario	GroupB	Argentina	Brazil	0	0	D	NA	NA	NA	18/06/1978
1978	Argentina	Buenos-Aires	GroupA	Austria	Italy	0	1	A	NA	Italy	Austria	18/06/1978
1978	Argentina	Cordoba	GroupA	West-Germany	Netherlands	2	2	D	NA	NA	NA	18/06/1978
1978	Argentina	Mendoza	GroupB	Peru	Poland	0	1	A	NA	Poland	Peru	18/06/1978
1978	Argentina	Rosario	GroupB	Argentina	Peru	6	0	H	NA	Argentina	Peru	21/06/1978
1978	Argentina	Cordoba	GroupA	Austria	West-Germany	3	2	H	NA	Austria	West-Germany	21/06/1978
1978	Argentina	Mendoza	GroupB	Brazil	Poland	3	1	H	NA	Brazil	Poland	21/06/1978
1978	Argentina	Buenos-Aires	GroupA	Italy	Netherlands	1	2	A	NA	Netherlands	Italy	21/06/1978
1978	Argentina	Buenos-Aires	Third-place	Brazil	Italy	2	1	H	NA	Brazil	Italy	24/06/1978
1978	Argentina	Buenos-Aires	Final	Argentina	Netherlands	3	1	H	Argentina-won-in-AET	Argentina	Netherlands	25/06/1978
1982	Spain	Barcelona	Group3	Argentina	Belgium	0	1	A	NA	Belgium	Argentina	13/06/1982
1982	Spain	Seville	Group6	Brazil	USSR	2	1	H	NA	Brazil	USSR	14/06/1982
1982	Spain	Vigo	Group1	Italy	Poland	0	0	D	NA	NA	NA	14/06/1982
1982	Spain	Elche	Group3	Hungary	El-Salvador	10	1	H	NA	Hungary	El-Salvador	15/06/1982
1982	Spain	La-Coruña	Group1	Peru	Cameroon	0	0	D	NA	NA	NA	15/06/1982
1982	Spain	Málaga	Group6	Scotland	New-Zealand	5	2	H	NA	Scotland	New-Zealand	15/06/1982
1982	Spain	Bilbao	Group4	England	France	3	1	H	NA	England	France	16/06/1982
1982	Spain	Gijón	Group2	West-Germany	Algeria	1	2	A	NA	Algeria	West-Germany	16/06/1982
1982	Spain	Valencia	Group5	Spain	Honduras	1	1	D	NA	NA	NA	16/06/1982
1982	Spain	Oviedo	Group2	Chile	Austria	0	1	A	NA	Austria	Chile	17/06/1982
1982	Spain	Valladolid	Group4	Czechoslovakia	Kuwait	1	1	D	NA	NA	NA	17/06/1982
1982	Spain	Zaragoza	Group5	Yugoslavia	Northern-Ireland	0	0	D	NA	NA	NA	17/06/1982
1982	Spain	Alicante	Group3	Argentina	Hungary	4	1	H	NA	Argentina	Hungary	18/06/1982
1982	Spain	Seville	Group6	Brazil	Scotland	4	1	H	NA	Brazil	Scotland	18/06/1982
1982	Spain	Vigo	Group1	Italy	Peru	1	1	D	NA	NA	NA	18/06/1982
1982	Spain	Elche	Group3	Belgium	El-Salvador	1	0	H	NA	Belgium	El-Salvador	19/06/1982
1982	Spain	La-Coruña	Group1	Poland	Cameroon	0	0	D	NA	NA	NA	19/06/1982
1982	Spain	Málaga	Group6	USSR	New-Zealand	3	0	H	NA	USSR	New-Zealand	19/06/1982
1982	Spain	Bilbao	Group4	England	Czechoslovakia	2	0	H	NA	England	Czechoslovakia	20/06/1982
1982	Spain	Gijón	Group2	West-Germany	Chile	4	1	H	NA	West-Germany	Chile	20/06/1982
1982	Spain	Valencia	Group5	Spain	Yugoslavia	2	1	H	NA	Spain	Yugoslavia	20/06/1982
1982	Spain	Oviedo	Group2	Algeria	Austria	0	2	A	NA	Austria	Algeria	21/06/1982
1982	Spain	Valladolid	Group4	France	Kuwait	4	1	H	NA	France	Kuwait	21/06/1982
1982	Spain	Zaragoza	Group5	Honduras	Northern-Ireland	1	1	D	NA	NA	NA	21/06/1982
1982	Spain	Elche	Group3	Belgium	Hungary	1	1	D	NA	NA	NA	22/06/1982
1982	Spain	La-Coruña	Group1	Poland	Peru	5	1	H	NA	Poland	Peru	22/06/1982
1982	Spain	Málaga	Group6	USSR	Scotland	2	2	D	NA	NA	NA	22/06/1982
1982	Spain	Alicante	Group3	Argentina	El-Salvador	2	0	H	NA	Argentina	El-Salvador	23/06/1982
1982	Spain	Seville	Group6	Brazil	New-Zealand	4	0	H	NA	Brazil	New-Zealand	23/06/1982
1982	Spain	Vigo	Group1	Italy	Cameroon	1	1	D	NA	NA	NA	23/06/1982
1982	Spain	Oviedo	Group2	Algeria	Chile	3	2	H	NA	Algeria	Chile	24/06/1982
1982	Spain	Valladolid	Group4	France	Czechoslovakia	1	1	D	NA	NA	NA	24/06/1982
1982	Spain	Zaragoza	Group5	Honduras	Yugoslavia	0	1	A	NA	Yugoslavia	Honduras	24/06/1982
1982	Spain	Bilbao	Group4	England	Kuwait	1	0	H	NA	England	Kuwait	25/06/1982
1982	Spain	Gijón	Group2	West-Germany	Austria	1	0	H	NA	West-Germany	Austria	25/06/1982
1982	Spain	Valencia	Group5	Spain	Northern-Ireland	0	1	A	NA	Northern-Ireland	Spain	25/06/1982
1982	Spain	Madrid	GroupD	Austria	France	0	1	A	NA	France	Austria	28/06/1982
1982	Spain	Barcelona	GroupA	Poland	Belgium	3	0	H	NA	Poland	Belgium	28/06/1982
1982	Spain	Madrid	GroupB	West-Germany	England	0	0	D	NA	NA	NA	29/06/1982
1982	Spain	Barcelona	GroupC	Italy	Argentina	2	1	H	NA	Italy	Argentina	29/06/1982
1982	Spain	Madrid	GroupD	Austria	Northern-Ireland	2	2	D	NA	NA	NA	01/07/1982
1982	Spain	Barcelona	GroupA	Belgium	USSR	0	1	A	NA	USSR	Belgium	01/07/1982
1982	Spain	Barcelona	GroupC	Argentina	Brazil	1	3	A	NA	Brazil	Argentina	02/07/1982
1982	Spain	Madrid	GroupB	Spain	West-Germany	1	2	A	NA	West-Germany	Spain	02/07/1982
1982	Spain	Madrid	GroupD	France	Northern-Ireland	4	1	H	NA	France	Northern-Ireland	04/07/1982
1982	Spain	Barcelona	GroupA	Poland	USSR	0	0	D	NA	NA	NA	04/07/1982
1982	Spain	Barcelona	GroupC	Italy	Brazil	3	2	H	NA	Italy	Brazil	05/07/1982
1982	Spain	Madrid	GroupB	Spain	England	0	0	D	NA	NA	NA	05/07/1982
1982	Spain	Seville	Semifinals	West-Germany	France	3	3	H	West-Germany-won-on-penalties	West-Germany	France	08/07/1982
1982	Spain	Barcelona	Semifinals	Poland	Italy	0	2	A	NA	Italy	Poland	08/07/1982
1982	Spain	Alicante	Third-place	Poland	France	3	2	H	NA	Poland	France	10/07/1982
1982	Spain	Madrid	Final	Italy	West-Germany	3	1	H	NA	Italy	West-Germany	11/07/1982
1986	Mexico	Mexico-City	GroupA	Bulgaria	Italy	1	1	D	NA	NA	NA	31/05/1986
1986	Mexico	Leon	GroupC	Canada	France	0	1	A	NA	France	Canada	01/06/1986
1986	Mexico	Guadalajara	GroupD	Spain	Brazil	0	1	A	NA	Brazil	Spain	01/06/1986
1986	Mexico	Mexico-City	GroupA	Argentina	South-Korea	3	1	H	NA	Argentina	South-Korea	02/06/1986
1986	Mexico	Monterrey	GroupF	Morocco	Poland	0	0	D	NA	NA	NA	02/06/1986
1986	Mexico	Irapuato	GroupC	USSR	Hungary	6	0	H	NA	USSR	Hungary	02/06/1986
1986	Mexico	Guadalajara	GroupD	Algeria	Northern-Ireland	1	1	D	NA	NA	NA	03/06/1986
1986	Mexico	Mexico-City	GroupB	Mexico	Belgium	2	1	H	NA	Mexico	Belgium	03/06/1986
1986	Mexico	Monterrey	GroupF	Portugal	England	1	0	H	NA	Portugal	England	03/06/1986
1986	Mexico	Toluca	GroupB	Paraguay	Iraq	1	0	H	NA	Paraguay	Iraq	04/06/1986
1986	Mexico	Nezahualcóyotl	GroupE	Scotland	Denmark	0	1	A	NA	Denmark	Scotland	04/06/1986
1986	Mexico	Querétaro	GroupE	Uruguay	West-Germany	1	1	D	NA	NA	NA	04/06/1986
1986	Mexico	Leon	GroupC	France	USSR	1	1	D	NA	NA	NA	05/06/1986
1986	Mexico	Puebla	GroupA	Italy	Argentina	1	1	D	NA	NA	NA	05/06/1986
1986	Mexico	Mexico-City	GroupA	South-Korea	Bulgaria	1	1	D	NA	NA	NA	05/06/1986
1986	Mexico	Guadalajara	GroupD	Brazil	Algeria	1	0	H	NA	Brazil	Algeria	06/06/1986
1986	Mexico	Monterrey	GroupF	England	Morocco	0	0	D	NA	NA	NA	06/06/1986
1986	Mexico	Irapuato	GroupC	Hungary	Canada	2	0	H	NA	Hungary	Canada	06/06/1986
1986	Mexico	Mexico-City	GroupB	Mexico	Paraguay	1	1	D	NA	NA	NA	07/06/1986
1986	Mexico	Guadalajara	GroupD	Northern-Ireland	Spain	1	2	A	NA	Spain	Northern-Ireland	07/06/1986
1986	Mexico	Monterrey	GroupF	Poland	Portugal	1	0	H	NA	Poland	Portugal	07/06/1986
1986	Mexico	Nezahualcóyotl	GroupE	Denmark	Uruguay	6	1	H	NA	Denmark	Uruguay	08/06/1986
1986	Mexico	Querétaro	GroupE	West-Germany	Scotland	2	1	H	NA	West-Germany	Scotland	08/06/1986
1986	Mexico	Toluca	GroupB	Iraq	Belgium	1	2	A	NA	Belgium	Iraq	08/06/1986
1986	Mexico	Leon	GroupC	Hungary	France	0	3	A	NA	France	Hungary	09/06/1986
1986	Mexico	Irapuato	GroupC	USSR	Canada	2	0	H	NA	USSR	Canada	09/06/1986
1986	Mexico	Mexico-City	GroupA	Argentina	Bulgaria	2	0	H	NA	Argentina	Bulgaria	10/06/1986
1986	Mexico	Puebla	GroupA	South-Korea	Italy	2	3	A	NA	Italy	South-Korea	10/06/1986
1986	Mexico	Monterrey	GroupF	England	Poland	3	0	H	NA	England	Poland	11/06/1986
1986	Mexico	Mexico-City	GroupB	Mexico	Iraq	1	0	H	NA	Mexico	Iraq	11/06/1986
1986	Mexico	Toluca	GroupB	Paraguay	Belgium	2	2	D	NA	NA	NA	11/06/1986
1986	Mexico	Guadalajara	GroupF	Portugal	Morocco	1	3	A	NA	Morocco	Portugal	11/06/1986
1986	Mexico	Monterrey	GroupD	Algeria	Spain	0	3	A	NA	Spain	Algeria	12/06/1986
1986	Mexico	Guadalajara	GroupD	Northern-Ireland	Brazil	0	3	A	NA	Brazil	Northern-Ireland	12/06/1986
1986	Mexico	Querétaro	GroupE	Denmark	West-Germany	2	0	H	NA	Denmark	West-Germany	13/06/1986
1986	Mexico	Nezahualcóyotl	GroupE	Scotland	Uruguay	0	0	D	NA	NA	NA	13/06/1986
1986	Mexico	Mexico-City	R16	Mexico	Bulgaria	2	0	H	NA	Mexico	Bulgaria	15/06/1986
1986	Mexico	Leon	R16	USSR	Belgium	3	4	A	Belgium-won-in-AET	Belgium	USSR	15/06/1986
1986	Mexico	Puebla	R16	Argentina	Uruguay	1	0	H	NA	Argentina	Uruguay	16/06/1986
1986	Mexico	Guadalajara	R16	Brazil	Poland	4	0	H	NA	Brazil	Poland	16/06/1986
1986	Mexico	Mexico-City	R16	Italy	France	0	2	A	NA	France	Italy	17/06/1986
1986	Mexico	Monterrey	R16	Morocco	West-Germany	0	1	A	NA	West-Germany	Morocco	17/06/1986
1986	Mexico	Querétaro	R16	Denmark	Spain	1	5	A	NA	Spain	Denmark	18/06/1986
1986	Mexico	Mexico-City	R16	England	Paraguay	3	0	H	NA	England	Paraguay	18/06/1986
1986	Mexico	Guadalajara	Quarterfinals	Brazil	France	1	1	A	France-won-on-penalties	France	Brazil	21/06/1986
1986	Mexico	Monterrey	Quarterfinals	Mexico	West-Germany	0	0	A	West-Germany-won-on-penalties	West-Germany	Mexico	21/06/1986
1986	Mexico	Mexico-City	Quarterfinals	Argentina	England	2	1	H	NA	Argentina	England	22/06/1986
1986	Mexico	Puebla	Quarterfinals	Spain	Belgium	1	1	A	Belgium-won-on-penalties	Belgium	Spain	22/06/1986
1986	Mexico	Mexico-City	Semifinals	Argentina	Belgium	2	0	H	NA	Argentina	Belgium	25/06/1986
1986	Mexico	Guadalajara	Semifinals	France	West-Germany	0	2	A	NA	West-Germany	France	25/06/1986
1986	Mexico	Puebla	Third-place	France	Belgium	4	2	H	France-won-in-AET	France	Belgium	28/06/1986
1986	Mexico	Mexico-City	Final	Argentina	West-Germany	3	2	H	NA	Argentina	West-Germany	29/06/1986
1990	Italy	Milan	GroupB	Argentina	Cameroon	0	1	A	NA	Cameroon	Argentina	08/06/1990
1990	Italy	Rome	GroupA	Italy	Austria	1	0	H	NA	Italy	Austria	09/06/1990
1990	Italy	Bari	GroupB	USSR	Romania	0	2	A	NA	Romania	USSR	09/06/1990
1990	Italy	Bologna	GroupD	United-Arab-Emirates	Colombia	0	2	A	NA	Colombia	United-Arab-Emirates	09/06/1990
1990	Italy	Turin	GroupC	Brazil	Sweden	2	1	H	NA	Brazil	Sweden	10/06/1990
1990	Italy	Milan	GroupD	West-Germany	Yugoslavia	4	1	H	NA	West-Germany	Yugoslavia	10/06/1990
1990	Italy	Florence	GroupA	USA	Czechoslovakia	1	5	A	NA	Czechoslovakia	USA	10/06/1990
1990	Italy	Genoa	GroupC	Costa-Rica	Scotland	1	0	H	NA	Costa-Rica	Scotland	11/06/1990
1990	Italy	Cagliari	GroupF	England	Republic-of-Ireland	1	1	D	NA	NA	NA	11/06/1990
1990	Italy	Verona	GroupE	Belgium	South-Korea	2	0	H	NA	Belgium	South-Korea	12/06/1990
1990	Italy	Palermo	GroupF	Netherlands	Egypt	1	1	D	NA	NA	NA	12/06/1990
1990	Italy	Naples	GroupB	Argentina	USSR	2	0	H	NA	Argentina	USSR	13/06/1990
1990	Italy	Udine	GroupE	Uruguay	Spain	0	0	D	NA	NA	NA	13/06/1990
1990	Italy	Bari	GroupB	Cameroon	Romania	2	1	H	NA	Cameroon	Romania	14/06/1990
1990	Italy	Rome	GroupA	Italy	USA	1	0	H	NA	Italy	USA	14/06/1990
1990	Italy	Bologna	GroupD	Yugoslavia	Colombia	1	0	H	NA	Yugoslavia	Colombia	14/06/1990
1990	Italy	Florence	GroupA	Austria	Czechoslovakia	0	1	A	NA	Czechoslovakia	Austria	15/06/1990
1990	Italy	Milan	GroupD	West-Germany	United-Arab-Emirates	5	1	H	NA	West-Germany	United-Arab-Emirates	15/06/1990
1990	Italy	Turin	GroupC	Brazil	Costa-Rica	1	0	H	NA	Brazil	Costa-Rica	16/06/1990
1990	Italy	Cagliari	GroupF	England	Netherlands	0	0	D	NA	NA	NA	16/06/1990
1990	Italy	Genoa	GroupC	Sweden	Scotland	1	2	A	NA	Scotland	Sweden	16/06/1990
1990	Italy	Verona	GroupE	Belgium	Uruguay	3	1	H	NA	Belgium	Uruguay	17/06/1990
1990	Italy	Palermo	GroupF	Republic-of-Ireland	Egypt	0	0	D	NA	NA	NA	17/06/1990
1990	Italy	Udine	GroupE	South-Korea	Spain	1	3	A	NA	Spain	South-Korea	17/06/1990
1990	Italy	Naples	GroupB	Argentina	Romania	1	1	D	NA	NA	NA	18/06/1990
1990	Italy	Bari	GroupB	Cameroon	USSR	0	4	A	NA	USSR	Cameroon	18/06/1990
1990	Italy	Florence	GroupA	Austria	USA	2	1	H	NA	Austria	USA	19/06/1990
1990	Italy	Milan	GroupD	West-Germany	Colombia	1	1	D	NA	NA	NA	19/06/1990
1990	Italy	Rome	GroupA	Italy	Czechoslovakia	2	0	H	NA	Italy	Czechoslovakia	19/06/1990
1990	Italy	Bologna	GroupD	Yugoslavia	United-Arab-Emirates	4	1	H	NA	Yugoslavia	United-Arab-Emirates	19/06/1990
1990	Italy	Turin	GroupC	Brazil	Scotland	1	0	H	NA	Brazil	Scotland	20/06/1990
1990	Italy	Genoa	GroupC	Sweden	Costa-Rica	1	2	A	NA	Costa-Rica	Sweden	20/06/1990
1990	Italy	Verona	GroupE	Belgium	Spain	1	2	A	NA	Spain	Belgium	21/06/1990
1990	Italy	Cagliari	GroupF	England	Egypt	1	0	H	NA	England	Egypt	21/06/1990
1990	Italy	Palermo	GroupF	Republic-of-Ireland	Netherlands	1	1	D	NA	NA	NA	21/06/1990
1990	Italy	Udine	GroupE	South-Korea	Uruguay	0	1	A	NA	Uruguay	South-Korea	21/06/1990
1990	Italy	Naples	R16	Cameroon	Colombia	2	1	H	Cameroon-won-in-AET	Cameroon	Colombia	23/06/1990
1990	Italy	Bari	R16	Czechoslovakia	Costa-Rica	4	1	H	NA	Czechoslovakia	Costa-Rica	23/06/1990
1990	Italy	Turin	R16	Brazil	Argentina	0	1	A	NA	Argentina	Brazil	24/06/1990
1990	Italy	Milan	R16	West-Germany	Netherlands	2	1	H	NA	West-Germany	Netherlands	24/06/1990
1990	Italy	Genoa	R16	Republic-of-Ireland	Romania	0	0	H	Republic-of-Ireland-won-on-penalties	Republic-of-Ireland	Romania	25/06/1990
1990	Italy	Rome	R16	Italy	Uruguay	2	0	H	NA	Italy	Uruguay	25/06/1990
1990	Italy	Bologna	R16	England	Belgium	1	0	H	England-won-in-AET	England	Belgium	26/06/1990
1990	Italy	Verona	R16	Spain	Yugoslavia	1	2	A	Yugoslavia-won-in-AET	Yugoslavia	Spain	26/06/1990
1990	Italy	Rome	Quarterfinals	Italy	Republic-of-Ireland	1	0	H	NA	Italy	Republic-of-Ireland	30/06/1990
1990	Italy	Florence	Quarterfinals	Yugoslavia	Argentina	0	0	A	Argentina-won-on-penalties	Argentina	Yugoslavia	30/06/1990
1990	Italy	Naples	Quarterfinals	Cameroon	England	2	3	A	England-won-in-AET	England	Cameroon	01/07/1990
1990	Italy	Milan	Quarterfinals	West-Germany	Czechoslovakia	1	0	H	NA	West-Germany	Czechoslovakia	01/07/1990
1990	Italy	Naples	Semifinals	Italy	Argentina	1	1	A	Argentina-won-on-penalties	Argentina	Italy	03/07/1990
1990	Italy	Turin	Semifinals	West-Germany	England	1	1	H	West-Germany-won-on-penalties	West-Germany	England	04/07/1990
1990	Italy	Bari	Third-place	Italy	England	2	1	H	NA	Italy	England	07/07/1990
1990	Italy	Rome	Final	West-Germany	Argentina	1	0	H	NA	West-Germany	Argentina	08/07/1990
1994	USA	Chicago	GroupC	Germany	Bolivia	1	0	H	NA	Germany	Bolivia	17/06/1994
1994	USA	Dallas	GroupC	Spain	South-Korea	2	2	D	NA	NA	NA	17/06/1994
1994	USA	Pasadena	GroupA	Colombia	Romania	1	3	A	NA	Romania	Colombia	18/06/1994
1994	USA	East-Rutherford	GroupE	Italy	Republic-of-Ireland	0	1	A	NA	Republic-of-Ireland	Italy	18/06/1994
1994	USA	Pontiac	GroupA	USA	Switzerland	1	1	D	NA	NA	NA	18/06/1994
1994	USA	Orlando	GroupF	Belgium	Morocco	1	0	H	NA	Belgium	Morocco	19/06/1994
1994	USA	Pasadena	GroupB	Cameroon	Sweden	2	2	D	NA	NA	NA	19/06/1994
1994	USA	Washington	GroupE	Norway	Mexico	1	0	H	NA	Norway	Mexico	19/06/1994
1994	USA	Palo-Alto	GroupB	Brazil	Russia	2	0	H	NA	Brazil	Russia	20/06/1994
1994	USA	Washington	GroupF	Netherlands	Saudi-Arabia	2	1	H	NA	Netherlands	Saudi-Arabia	20/06/1994
1994	USA	Foxborough	GroupD	Argentina	Greece	4	0	H	NA	Argentina	Greece	21/06/1994
1994	USA	Chicago	GroupC	Germany	Spain	1	1	D	NA	NA	NA	21/06/1994
1994	USA	Dallas	GroupD	Nigeria	Bulgaria	3	0	H	NA	Nigeria	Bulgaria	21/06/1994
1994	USA	Pontiac	GroupA	Romania	Switzerland	1	4	A	NA	Switzerland	Romania	22/06/1994
1994	USA	Pasadena	GroupA	USA	Colombia	2	1	H	NA	USA	Colombia	22/06/1994
1994	USA	East-Rutherford	GroupE	Italy	Norway	1	0	H	NA	Italy	Norway	23/06/1994
1994	USA	Foxborough	GroupC	South-Korea	Bolivia	0	0	D	NA	NA	NA	23/06/1994
1994	USA	Palo-Alto	GroupB	Brazil	Cameroon	3	0	H	NA	Brazil	Cameroon	24/06/1994
1994	USA	Orlando	GroupE	Mexico	Republic-of-Ireland	2	1	H	NA	Mexico	Republic-of-Ireland	24/06/1994
1994	USA	Pontiac	GroupB	Sweden	Russia	3	1	H	NA	Sweden	Russia	24/06/1994
1994	USA	Foxborough	GroupD	Argentina	Nigeria	2	1	H	NA	Argentina	Nigeria	25/06/1994
1994	USA	Orlando	GroupF	Belgium	Netherlands	1	0	H	NA	Belgium	Netherlands	25/06/1994
1994	USA	East-Rutherford	GroupF	Saudi-Arabia	Morocco	2	1	H	NA	Saudi-Arabia	Morocco	25/06/1994
1994	USA	Chicago	GroupD	Bulgaria	Greece	4	0	H	NA	Bulgaria	Greece	26/06/1994
1994	USA	Palo-Alto	GroupA	Switzerland	Colombia	0	2	A	NA	Colombia	Switzerland	26/06/1994
1994	USA	Pasadena	GroupA	USA	Romania	0	1	A	NA	Romania	USA	26/06/1994
1994	USA	Chicago	GroupC	Bolivia	Spain	1	3	A	NA	Spain	Bolivia	27/06/1994
1994	USA	Dallas	GroupC	Germany	South-Korea	3	2	H	NA	Germany	South-Korea	27/06/1994
1994	USA	Pontiac	GroupB	Brazil	Sweden	1	1	D	NA	NA	NA	28/06/1994
1994	USA	East-Rutherford	GroupE	Republic-of-Ireland	Norway	0	0	D	NA	NA	NA	28/06/1994
1994	USA	Washington	GroupE	Italy	Mexico	1	1	D	NA	NA	NA	28/06/1994
1994	USA	Palo-Alto	GroupB	Russia	Cameroon	6	1	H	NA	Russia	Cameroon	28/06/1994
1994	USA	Washington	GroupF	Belgium	Saudi-Arabia	0	1	A	NA	Saudi-Arabia	Belgium	29/06/1994
1994	USA	Orlando	GroupF	Morocco	Netherlands	1	2	A	NA	Netherlands	Morocco	29/06/1994
1994	USA	Dallas	GroupC	Argentina	Bulgaria	0	2	A	NA	Bulgaria	Argentina	30/06/1994
1994	USA	Foxborough	GroupC	Greece	Nigeria	0	2	A	NA	Nigeria	Greece	30/06/1994
1994	USA	Chicago	R16	Germany	Belgium	3	2	H	NA	Germany	Belgium	02/07/1994
1994	USA	Washington	R16	Spain	Switzerland	3	0	H	NA	Spain	Switzerland	02/07/1994
1994	USA	Pasadena	R16	Romania	Argentina	3	2	H	NA	Romania	Argentina	03/07/1994
1994	USA	Dallas	R16	Saudi-Arabia	Sweden	1	3	A	NA	Sweden	Saudi-Arabia	03/07/1994
1994	USA	Orlando	R16	Netherlands	Republic-of-Ireland	2	0	H	NA	Netherlands	Republic-of-Ireland	04/07/1994
1994	USA	Palo-Alto	R16	USA	Brazil	0	1	A	NA	Brazil	USA	04/07/1994
1994	USA	East-Rutherford	R16	Mexico	Bulgaria	1	1	A	Bulgaria-won-in-penalties	Bulgaria	Mexico	05/07/1994
1994	USA	Foxborough	R16	Nigeria	Italy	1	2	A	Italy-won-in-AET	Italy	Nigeria	05/07/1994
1994	USA	Foxborough	Quarterfinals	Italy	Spain	2	1	H	NA	Italy	Spain	09/07/1994
1994	USA	Dallas	Quarterfinals	Netherlands	Brazil	2	3	A	NA	Brazil	Netherlands	09/07/1994
1994	USA	East-Rutherford	Quarterfinals	Bulgaria	Germany	2	1	H	NA	Bulgaria	Germany	10/07/1994
1994	USA	Palo-Alto	Quarterfinals	Romania	Sweden	2	2	A	Sweden-won-on-penalties	Sweden	Romania	10/07/1994
1994	USA	East-Rutherford	Semifinals	Bulgaria	Italy	1	2	A	NA	Italy	Bulgaria	13/07/1994
